Желябужский Иван Афанасьевич; 1638 ;  ;;
Жерве Пётр Карлович;  ; попечитель [[Харьковский учебный округ;;
Василий IV Шуйский; 1552 ; [[Русское царство;;
Герлах Этьен Константин;1785; 1-й [[Премьер-министр Бельгии]];; Католическая
Горегляд Алексей Адамович; 30.3.1905 (17.3); [[Список министров промышленности России#Министерство судостроительной промышленности СССР;; [[ВКП(б)]] с 1930 года
Никонов Вячеслав Алексеевич; 5.6.1956; депутат [[Государственная дума Федерального собрания Российской Федерации VI созыва; {{USSR}}→{{RUS}}; 1) [[Коммунистическая партия Советского Союза
Жилинский Иосиф Ипполитович;  20.04.1834; ;;  
Густав II Адольф; 9.12.1594; король Швеции, Готов и Вендов;;
Густав I Васа; 12.05.1496 ; [[король Швеции]], Готов и Вендов;;
Мария Терезия Испанская; 10.9.1638; [[Королева Франции;;
Позгалёв Вячеслав Евгеньевич; 15.11.1946 ; Депутат [[Государственная дума;; [[Коммунистическая партия Советского Союза
Генрих II Плантагенет; 5.3.1133; [[король Англии]] ;;
Новосильцев Николай Николаевич; 1761 ; [[Премьер-министры России;;
Владимир Всеволодович Мономах; 26.5.1053 ; [[Князь черниговский]] ;;
Аль-Мутамид ибн Аббад; 1040; [[Эмир Севильи]];;
Витте Сергей Юльевич;  29.6.1849 (17); [[Премьер-министры России;;  
Булганин Николай Александрович; 11.6.1895 (30.5); Член [[Политбюро ЦК КПСС;; [[КПСС]] (с 1917)
Генрих де Жуайез; 21.9.1561;  [[Жуайезы;;
Михайловский Михаил Алексеевич; 21.4.1947 ;  председатель [[Государственный Совет Чувашской Республики;;
Жуковский Степан Михайлович; 1818; [[Статс-секретарь]] [[Александр II;;
Гапликов Сергей Анатольевич; 29.4.1970; заместитель руководителя аппарата Правительства Российской Федерации;;
Набоков Владимир Дмитриевич; 8.07.1869 (21);;; [[Конституционно-демократическая партия]]
Ваджпаи Атал Бихари; 25.12.1924; [[Премьер-министр Индии]];; [[Бхаратия джаната парти]]
Забела Пётр Михайлович; 1580;  [[Борзнянский полк]]овник ;;
Родзянко Михаил Владимирович; 21.02.1859 (9); [[Председатель Государственной думы Российской империи]];; [[Союз 17 октября]]
Заберезинский Ян Юрьевич; 1440 ; [[Каштеляны трокские;;
Бразаускас Альгирдас Миколас; 22.09.1932; 30-й [[Премьер-министры Литвы;;
Флориан (римский император); ; [[Римский император]];;
Залеский Владислав Францевич; 11.2.1861(30.1);;; [[Казанское Царско-народное русское общество
Виктория (королева Великобритании); 24.5.1819; королева [[Соединённое королевство Великобритании и Ирландии;;
Муравьёв-Виленский Михаил Николаевич; 12.10.1796(1) ; [[Литовское генерал-губернаторство;;
Залуский Анджей Хризостом; 1650 ; [[канцлер великий коронный]] ;; <!-- политическая партия --> 
Александр Ярославич Невский; 13.05.1221 ; [[Князь новгородский]] ;;
Поливанов Алексей Андреевич; 16.03.1855; [[Военное министерство Российской империи;;
Коковцов Владимир Николаевич; 18.4.1853 (6); [[Премьер-министры России;;
Мамсуров Таймураз Дзамбекович; 13.04.1954; Глава [[Республика Северная Осетия — Алания;;  [[Единая Россия]]
Людовик I Благочестивый; 16.04.778; [[император Запада]];;
Людовик II Заика; 1.11.846; [[король Франции;;
Людовик IV Заморский; [[10 сентября]] [[920]] или [[921]] г. ;;;
Лотарь (король Франции); конец {{датаРождения; [[Список королей Франции;;
Ярослав Владимирович Мудрый; ок. 978<ref name; [[Князь новгородский]] ;;
Збаражский Стефан Андреевич; около 1518  ; [[Воеводы витебские;;
Аяцков Дмитрий Фёдорович; 9.11.1950; [[губернатор]] [[Саратовская область;; 
Климова Наталья Сергеевна; 30.09.1885;;;  [[Партия социалистов-революционеров]]
Дзасохов Александр Сергеевич; 3.4.1934; Чрезвычайный и Полномочный Посол СССР в Сирии;;  [[КПСС]]
Плеве Вячеслав Константинович;  20.04.1846 (8); [[Министры внутренних дел России;;
Ольга (княгиня Киевская); ок. 890; [[Великие князья Киевские;;
Мусевени Йовери Кагута; 15.08.1944 ; [[Президент Уганды]];; 
Луций Корнелий Сулла; −138; Бессрочный [[Диктатор (Древний Рим);;
Матвеев Артамон Сергеевич; 1625 ; Управляющий [[Посольский приказ;;
Меншиков Александр Сергеевич; 26.08.1787 (15.08) ; [[Генерал-губернатор Финляндии]] ;;
Аслаханов Асламбек Ахмедович; 11.3.1942;;;
Филипп II Август; 21.8.1165; [[король Франции]];;
Филипп III Смелый; 30.4.1245; [[король Франции]];;
Яблоков Алексей Владимирович; 3.10.1933 ; председатель Межведомственной комиссии [[Совет безопасности Российской Федерации; {{Флагификация; [[Яблоко (партия)
Секст Аврелий Виктор;;  [[Префект города Рима]] в [[389 год]]у;;
Зенгер Григорий Эдуардович; 25.03.1853; [[Министерство народного просвещения Российской империи;;
Земовит IV Плоцкий; 1352 ; Князь [[плоцк]]ий ;;
Тихомиров Лев Александрович; 31.01.1852 (19);;;
Зенович Криштоф Юрьевич; около [[1540 год]]а ; [[Воеводы берестейские;;
Имад ад-Дин Занги; 1087; [[Список правителей Мосула;;
Врангель Пётр Николаевич; 27.8.1878 (15) ; Председатель [[Русский совет;;
Горчаков Александр Михайлович; 15.6.1798 (4); [[Министры иностранных дел России;;
Дмитрий Иванович Донской; 12.10.1350; [[Князь Московский]];;
Вильгельм I Завоеватель; ок. [[1027]]/[[1028]]; [[король Англии]] ;;
Чубайс Анатолий Борисович; 16.6.1955; Первый [[Заместитель председателя правительства Российской Федерации]];; [[КПСС]] (1980 (или 1977) — 1991)<br />[[Демократический выбор России]] (1994—1995, 1996—2001)<br />[[СПС]] (2001—2008) <br />[[Правое дело (партия)
Нессельроде Карл Васильевич; 13.12.1780(2); [[Министры иностранных дел России;;
Харлем Брунтланн Гру; 20.4.1939 ; [[Список премьер-министров Норвегии;; [[Норвежская рабочая партия]] 
Эдгар (король Англии); 943; [[Король Англии]];;
Меттерних Клеменс фон; 15.05.1773; [[Министр иностранных дел Австрийской империи и Австро-Венгрии;;
Горбачёва Раиса Максимовна; 5.1.1932 ;; {{Флагификация;
Внешняя политика России;;;;
Акбар I Великий; 14.10.1542 ; [[Падишах]] <br />[[Империя Великих Моголов;;
Бугаев Борис Павлович; 29.07.1923; [[Министерство гражданской авиации СССР;; [[ВКП(б)]] с [[1946 год]]а.
Василий I Дмитриевич; 30.12.1371 ; [[Князь Московский]] ;;
Штюрмер Борис Владимирович;  27.07.1848 (15); [[Новгородская губерния;;  
Адамс Джон (президент); 30.10.1735 ; [[Президент США]] ;; [[Федералистская партия (США)
Дмитрий Юрьевич Шемяка; между [[1400]] и [[1422]]; [[Список князей Московских;;
Фёдор I Иоаннович; 11.05.1557; [[Царство Русское;;
Фёдор II Годунов; 1589; [[Русское царство;;
Карл XVI Густав; 30.04.1946; [[Король Швеции]];;
Румянцев Александр Иванович; 1680 ; [[Астраханская губерния;;
Бутурлин Александр Борисович; 28.07.1694 (18) ; [[Московские губернаторы 1709-1917;;  
Бестужев-Рюмин Алексей Петрович; 1693 ; президент [[Коллегия иностранных дел;;
Остерман Андрей Иванович; 9.6.1687 ; [[Вице-канцлер]] ;;
Брюс Яков Вилимович; 1669; Президент [[Берг-коллегия;;
Митрохин Сергей Сергеевич; 20.05.1963;;; [[Яблоко (партия)
Большеданов Павел Владимирович; 16.06.1956; Депутат Саратовской областной думы;; [[Единая Россия]]
Власов Андрей Андреевич; 14.9.1901 (1); Председатель Президиума [[Комитет освобождения народов России;;
Ле Пен Жан-Мари; 20.06.1928;;; [[Национальный фронт (Франция)
Веллингтон Артур Уэлсли; 01.05.1769; 25-й [[Премьер-министр Великобритании]];; [[Тори]]
Назарбаев Нурсултан Абишевич; 6.7.1940; 1-й [[Президент Казахстана]];; [[КПСС]] (1962—1991) <br />[[Народно-демократическая партия «Нур Отан»]]
Цалабан Трофим Матвеевич; 1774 ;  ;;
Зоя (византийская императрица); ок. [[978]] ; [[Византийский император;;
Цанков Драган Киряков; 9.11.1828; [[Председатель Совета Министров Болгарии]];; [[Либералная партия (Болгария)
Якоб (герцог Курляндии); 28.10.1610; [[Курляндия и Семигалия;;
Зубов Платон Александрович; 26.11.1767 (15) ; Шеф [[Первый кадетский корпус (Санкт-Петербург);;
Якоба (графиня Геннегау); 16.8.1401; графиня [[Геннегау]];;
Ибрагим (казанский хан);; [[Казанское ханство;;
Иванчин-Писарев Александр Иванович; 1849;;; [[Народная воля]], [[народник]]и
Иващенко Иван Самойлович; 1851;;; [[Союз 17 октября]] 
Измайлов Иван Петрович; 1667 ; [[Астраханская губерния;;
Икономов Тодор Поппетров; 10.9.1835 ;  ;;
